NC_018464.1 Shamonda virus N and NSs genes, segment S, genomic RNA, isolate Ib An 5550
NC_022095.1 Human papillomavirus type 179 complete genome, isolate SIBX16
NC_041878.1 Pectobacterium phage CBB, complete genome
NC_052986.1 Aeromonas phage BUCT551, complete genome
NC_054654.1 Klebsiella phage ZX4, complete genome
NC_018282.1 Pseudomonas phage MP1412, complete genome
NC_047879.1 Bordetella phage MW2, complete genome
NC_018452.1 Burkholderia phage DC1, complete genome
NC_009235.2 Burkholderia phage phi644-2, complete genome
NC_031129.1 Salmonella phage SJ46, complete genome
NC_012743.2 Burkholderia phage BcepIL02, complete genome
NC_019917.1 Burkholderia phage BcepMigl, complete genome
NC_025824.1 Escherichia phage fd strain 478, complete genome
NC_048647.1 Klebsiella phage KNP2 genomic sequence
NC_047881.1 Shigella phage SSP1, complete genome
NC_048214.1 Duck coronavirus isolate DK/GD/27/2014, complete genome
NC_014470.1 Bat coronavirus BM48-31/BGR/2008, complete genome
NC_048211.1 Wencheng Sm shrew coronavirus isolate Xingguo-74 ORF1ab polyprotein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds
NC_009993.2 Mycobacterium phage Giles, complete genome
NC_060131.1 Gordonia phage Neville, complete genome
NC_060134.1 Gordonia phage Octobien14, complete genome
NC_060132.1 Gordonia phage Trax, complete genome
NC_060137.1 Gordonia phage Syleon, complete genome
NC_060135.1 Gordonia Phage Sephiroth, complete genome
NC_060136.1 Gordonia phage Kudefre, complete genome
NC_002371.2 Salmonella phage P22, complete genome
NC_008583.1 Staphylococcus phage phinm1, complete genome
NC_028913.1 Staphylococcus phage phinm2, complete genome
NC_061418.1 Klebsiella phage KpLz-2_45, complete genome
NC_061421.1 Klebsiella phage vB_KpM_FBKp24, complete genome
NC_028980.1 Pseudomonas phage PAE1, complete genome
NC_010353.1 Streptococcus phage 858, complete genome
NC_011023.1 Mycobacterium phage Pukovnik, complete genome
NC_013197.1 Thermus phage P23-77, complete genome
NC_013598.1 Streptococcus phage ALQ13.2, complete genome
NC_013645.1 Streptococcus phage Abc2, complete genome
NC_014460.1 Staphylococcus phage SAP-26, complete genome
NC_019405.1 Caulobacter phage phiCbK, complete genome
NC_019408.1 Caulobacter phage CcrRogue, complete genome
NC_019411.1 Caulobacter phage CcrSwift, complete genome
NC_062734.1 Synechococcus phage ACG-2014d isolate Syn7803C45, complete genome
NC_062736.1 Synechococcus phage ACG-2014e isolate Syn7803C85, complete genome
NC_062735.1 Synechococcus phage ACG-2014j isolate Syn7803US23, complete genome
NC_062581.1 Pseudomonas phage Psa21, complete genome
NC_062743.1 Flavobacterium phage vB_FspP_elemoC_14-1A, complete genome
NC_062741.1 Flavobacterium phage vB_FspP_elemoB_14-3B, complete genome
NC_062742.1 MAG: Dompiswa phage TSP7_1, complete genome
NC_062765.1 CrAss-like virus sp., complete genome
NC_062767.1 CrAss-like virus sp., complete genome
NC_062770.1 CrAss-like virus sp., complete genome
NC_062771.1 CrAss-like virus sp., complete genome
NC_062772.1 CrAss-like virus sp., complete genome
NC_062776.1 CrAss-like virus sp., complete genome
NC_062778.1 CrAss-like virus sp., complete genome
NC_062780.1 CrAss-like virus sp., complete genome
NC_012788.1 Mycobacterium phage Angel, complete genome
NC_021535.1 Mycobacterium phage Jobu08, complete genome
NC_024148.1 Mycobacterium phage Phantastic, complete genome
NC_028798.1 Mycobacterium phage MarQuardt, complete genome
NC_028794.1 Mycobacterium phage Piro94, complete genome
NC_028757.1 Mycobacterium phage Tiffany, complete genome
NC_028852.1 Mycobacterium phage Equemioh13, complete genome
NC_029098.1 Streptomyces phage Jay2Jay, complete genome
NC_031084.1 Propionibacterium phage BruceLethal, complete genome
NC_031119.1 Propionibacterium phage Enoki, complete genome
NC_031003.1 Propionibacterium phage Moyashi, complete genome
NC_027629.1 Propionibacterium phage Attacne, complete genome
NC_027625.1 Propionibacterium phage Kubed, complete genome
NC_027628.1 Propionibacterium phage Lauchelly, complete genome
NC_027620.1 Propionibacterium phage MrAK, complete genome
NC_027630.1 Propionibacterium phage Ouroboros, complete genome
NC_027626.1 Propionibacterium phage Procrass1, complete genome
NC_027624.1 Propionibacterium phage SKKY, complete genome
NC_027627.1 Propionibacterium phage Solid, complete genome
NC_027622.1 Propionibacterium phage Stormborn, complete genome
NC_027621.1 Propionibacterium phage Wizzo, complete genome
NC_028976.1 Streptomyces phage Izzy, complete genome
NC_028892.1 Streptomyces phage Caliburn, complete genome
NC_030917.1 Gordonia phage OneUp, complete genome
NC_031102.1 Mycobacterium phage Sneeze, complete genome
NC_023705.1 Mycobacterium phage Liefie, complete genome
NC_003157.5 Streptococcus phage phiNIH1.1, complete genome
